Landroid/app/StatsCursor;->getColumnNames()[Ljava/lang/String;,public-api,system-api,test-api
Landroid/app/StatsCursor;->getCount()I,public-api,system-api,test-api
Landroid/app/StatsCursor;->getDouble(I)D,public-api,system-api,test-api
Landroid/app/StatsCursor;->getFloat(I)F,public-api,system-api,test-api
Landroid/app/StatsCursor;->getInt(I)I,public-api,system-api,test-api
Landroid/app/StatsCursor;->getLong(I)J,public-api,system-api,test-api
Landroid/app/StatsCursor;->getShort(I)S,public-api,system-api,test-api
Landroid/app/StatsCursor;->getString(I)Ljava/lang/String;,public-api,system-api,test-api
Landroid/app/StatsCursor;->getType(I)I,public-api,system-api,test-api
Landroid/app/StatsCursor;->isNull(I)Z,public-api,system-api,test-api
Landroid/app/StatsCursor;->onMove(II)Z,public-api,system-api,test-api
Landroid/app/StatsManager$$ExternalSyntheticLambda0;->run()V,core-platform-api,public-api,system-api,test-api
Landroid/app/StatsManager$PullAtomCallbackInternal$$ExternalSyntheticLambda0;->run()V,core-platform-api,public-api,system-api,test-api
Landroid/app/StatsManager$PullAtomMetadata$Builder;-><init>()V,system-api,test-api
Landroid/app/StatsManager$PullAtomMetadata$Builder;->build()Landroid/app/StatsManager$PullAtomMetadata;,system-api,test-api
Landroid/app/StatsManager$PullAtomMetadata$Builder;->setAdditiveFields([I)Landroid/app/StatsManager$PullAtomMetadata$Builder;,system-api,test-api
Landroid/app/StatsManager$PullAtomMetadata$Builder;->setCoolDownMillis(J)Landroid/app/StatsManager$PullAtomMetadata$Builder;,system-api,test-api
Landroid/app/StatsManager$PullAtomMetadata$Builder;->setTimeoutMillis(J)Landroid/app/StatsManager$PullAtomMetadata$Builder;,system-api,test-api
Landroid/app/StatsManager$PullAtomMetadata;->getAdditiveFields()[I,system-api,test-api
Landroid/app/StatsManager$PullAtomMetadata;->getCoolDownMillis()J,system-api,test-api
Landroid/app/StatsManager$PullAtomMetadata;->getTimeoutMillis()J,system-api,test-api
Landroid/app/StatsManager$StatsPullAtomCallback;->onPullAtom(ILjava/util/List;)I,system-api,test-api
Landroid/app/StatsManager$StatsQueryCallbackInternal$$ExternalSyntheticLambda0;->run()V,core-platform-api,public-api,system-api,test-api
Landroid/app/StatsManager$StatsQueryCallbackInternal$$ExternalSyntheticLambda1;->run()V,core-platform-api,public-api,system-api,test-api
Landroid/app/StatsManager$StatsQueryException;-><init>(Ljava/lang/String;)V,system-api,test-api
Landroid/app/StatsManager$StatsQueryException;-><init>(Ljava/lang/String;Ljava/lang/Throwable;)V,system-api,test-api
Landroid/app/StatsManager$StatsUnavailableException;-><init>(Ljava/lang/String;)V,system-api,test-api
Landroid/app/StatsManager$StatsUnavailableException;-><init>(Ljava/lang/String;Ljava/lang/Throwable;)V,system-api,test-api
Landroid/app/StatsManager;->ACTION_STATSD_STARTED:Ljava/lang/String;,system-api,test-api
Landroid/app/StatsManager;->EXTRA_STATS_ACTIVE_CONFIG_KEYS:Ljava/lang/String;,system-api,test-api
Landroid/app/StatsManager;->EXTRA_STATS_BROADCAST_SUBSCRIBER_COOKIES:Ljava/lang/String;,system-api,test-api
Landroid/app/StatsManager;->EXTRA_STATS_CONFIG_KEY:Ljava/lang/String;,system-api,test-api
Landroid/app/StatsManager;->EXTRA_STATS_CONFIG_UID:Ljava/lang/String;,system-api,test-api
Landroid/app/StatsManager;->EXTRA_STATS_DIMENSIONS_VALUE:Ljava/lang/String;,system-api,test-api
Landroid/app/StatsManager;->EXTRA_STATS_RESTRICTED_METRIC_IDS:Ljava/lang/String;,system-api,test-api
Landroid/app/StatsManager;->EXTRA_STATS_SUBSCRIPTION_ID:Ljava/lang/String;,system-api,test-api
Landroid/app/StatsManager;->EXTRA_STATS_SUBSCRIPTION_RULE_ID:Ljava/lang/String;,system-api,test-api
Landroid/app/StatsManager;->PULL_SKIP:I,system-api,test-api
Landroid/app/StatsManager;->PULL_SUCCESS:I,system-api,test-api
Landroid/app/StatsManager;->addConfig(J[B)V,system-api,test-api
Landroid/app/StatsManager;->addConfiguration(J[B)Z,system-api,test-api
Landroid/app/StatsManager;->clearPullAtomCallback(I)V,system-api,test-api
Landroid/app/StatsManager;->getData(J)[B,system-api,test-api
Landroid/app/StatsManager;->getMetadata()[B,system-api,test-api
Landroid/app/StatsManager;->getRegisteredExperimentIds()[J,system-api,test-api
Landroid/app/StatsManager;->getReports(J)[B,system-api,test-api
Landroid/app/StatsManager;->getStatsMetadata()[B,system-api,test-api
