Landroid/app/usage/NetworkStatsManager;->setPollForce(Z)V,max-target-r
Landroid/net/ConnectivityManager$PacketKeepalive;->stop()V,max-target-r
Landroid/net/ConnectivityManager$PacketKeepaliveCallback;-><init>()V,max-target-r
Landroid/net/ConnectivityManager$PacketKeepaliveCallback;->onError(I)V,max-target-r
Landroid/net/ConnectivityManager$PacketKeepaliveCallback;->onStarted()V,max-target-r
Landroid/net/ConnectivityManager$PacketKeepaliveCallback;->onStopped()V,max-target-r
Landroid/net/ConnectivityManager;->ACTION_TETHER_STATE_CHANGED:Ljava/lang/String;,max-target-r
Landroid/net/ConnectivityManager;->EXTRA_ACTIVE_TETHER:Ljava/lang/String;,max-target-r
Landroid/net/ConnectivityManager;->EXTRA_AVAILABLE_TETHER:Ljava/lang/String;,max-target-r
Landroid/net/ConnectivityManager;->EXTRA_ERRORED_TETHER:Ljava/lang/String;,max-target-r
Landroid/net/ConnectivityManager;->INET_CONDITION_ACTION:Ljava/lang/String;,unsupported
Landroid/net/ConnectivityManager;->TYPE_MOBILE_CBS:I,max-target-p
Landroid/net/ConnectivityManager;->TYPE_MOBILE_EMERGENCY:I,max-target-p
Landroid/net/ConnectivityManager;->TYPE_MOBILE_FOTA:I,max-target-p
Landroid/net/ConnectivityManager;->TYPE_MOBILE_IA:I,unsupported
Landroid/net/ConnectivityManager;->TYPE_MOBILE_IMS:I,unsupported
Landroid/net/ConnectivityManager;->from(Landroid/content/Context;)Landroid/net/ConnectivityManager;,unsupported
Landroid/net/ConnectivityManager;->getActiveLinkProperties()Landroid/net/LinkProperties;,max-target-p
Landroid/net/ConnectivityManager;->getActiveNetworkInfoForUid(I)Landroid/net/NetworkInfo;,max-target-r
Landroid/net/ConnectivityManager;->getDefaultNetworkCapabilitiesForUser(I)[Landroid/net/NetworkCapabilities;,unsupported
Landroid/net/ConnectivityManager;->getInstance()Landroid/net/ConnectivityManager;,unsupported
Landroid/net/ConnectivityManager;->getLastTetherError(Ljava/lang/String;)I,max-target-r
Landroid/net/ConnectivityManager;->getLinkProperties(I)Landroid/net/LinkProperties;,max-target-p
Landroid/net/ConnectivityManager;->getMobileDataEnabled()Z,unsupported
Landroid/net/ConnectivityManager;->getNetworkForType(I)Landroid/net/Network;,unsupported
Landroid/net/ConnectivityManager;->getNetworkTypeName(I)Ljava/lang/String;,max-target-r
Landroid/net/ConnectivityManager;->getTetherableBluetoothRegexs()[Ljava/lang/String;,unsupported
