Landroid/app/role/IOnRoleHoldersChangedListener$Default;-><init>()V,blocked
Landroid/app/role/IOnRoleHoldersChangedListener$Default;->asBinder()Landroid/os/IBinder;,public-api,sdk,system-api,test-api
Landroid/app/role/IOnRoleHoldersChangedListener$Default;->onRoleHoldersChanged(Ljava/lang/String;I)V,blocked
Landroid/app/role/IOnRoleHoldersChangedListener$Stub$Proxy;-><init>(Landroid/os/IBinder;)V,blocked
Landroid/app/role/IOnRoleHoldersChangedListener$Stub$Proxy;->asBinder()Landroid/os/IBinder;,public-api,sdk,system-api,test-api
Landroid/app/role/IOnRoleHoldersChangedListener$Stub$Proxy;->getInterfaceDescriptor()Ljava/lang/String;,blocked
Landroid/app/role/IOnRoleHoldersChangedListener$Stub$Proxy;->mRemote:Landroid/os/IBinder;,blocked
Landroid/app/role/IOnRoleHoldersChangedListener$Stub$Proxy;->onRoleHoldersChanged(Ljava/lang/String;I)V,blocked
Landroid/app/role/IOnRoleHoldersChangedListener$Stub$Proxy;->sDefaultImpl:Landroid/app/role/IOnRoleHoldersChangedListener;,blocked
Landroid/app/role/IOnRoleHoldersChangedListener$Stub;-><init>()V,blocked
Landroid/app/role/IOnRoleHoldersChangedListener$Stub;->TRANSACTION_onRoleHoldersChanged:I,blocked
Landroid/app/role/IOnRoleHoldersChangedListener$Stub;->asBinder()Landroid/os/IBinder;,public-api,sdk,system-api,test-api
Landroid/app/role/IOnRoleHoldersChangedListener$Stub;->asInterface(Landroid/os/IBinder;)Landroid/app/role/IOnRoleHoldersChangedListener;,blocked
Landroid/app/role/IOnRoleHoldersChangedListener$Stub;->getDefaultImpl()Landroid/app/role/IOnRoleHoldersChangedListener;,blocked
Landroid/app/role/IOnRoleHoldersChangedListener$Stub;->onTransact(ILandroid/os/Parcel;Landroid/os/Parcel;I)Z,public-api,sdk,system-api,test-api
Landroid/app/role/IOnRoleHoldersChangedListener$Stub;->setDefaultImpl(Landroid/app/role/IOnRoleHoldersChangedListener;)Z,blocked
Landroid/app/role/IOnRoleHoldersChangedListener;->DESCRIPTOR:Ljava/lang/String;,blocked
Landroid/app/role/IOnRoleHoldersChangedListener;->onRoleHoldersChanged(Ljava/lang/String;I)V,blocked
Landroid/app/role/IRoleController$Default;-><init>()V,blocked
Landroid/app/role/IRoleController$Default;->asBinder()Landroid/os/IBinder;,public-api,sdk,system-api,test-api
Landroid/app/role/IRoleController$Default;->grantDefaultRoles(Landroid/os/RemoteCallback;)V,blocked
Landroid/app/role/IRoleController$Default;->isApplicationQualifiedForRole(Ljava/lang/String;Ljava/lang/String;Landroid/os/RemoteCallback;)V,blocked
Landroid/app/role/IRoleController$Default;->isApplicationVisibleForRole(Ljava/lang/String;Ljava/lang/String;Landroid/os/RemoteCallback;)V,blocked
Landroid/app/role/IRoleController$Default;->isRoleVisible(Ljava/lang/String;Landroid/os/RemoteCallback;)V,blocked
Landroid/app/role/IRoleController$Default;->onAddRoleHolder(Ljava/lang/String;Ljava/lang/String;ILandroid/os/RemoteCallback;)V,blocked
Landroid/app/role/IRoleController$Default;->onClearRoleHolders(Ljava/lang/String;ILandroid/os/RemoteCallback;)V,blocked
Landroid/app/role/IRoleController$Default;->onRemoveRoleHolder(Ljava/lang/String;Ljava/lang/String;ILandroid/os/RemoteCallback;)V,blocked
Landroid/app/role/IRoleController$Stub$Proxy;-><init>(Landroid/os/IBinder;)V,blocked
Landroid/app/role/IRoleController$Stub$Proxy;->asBinder()Landroid/os/IBinder;,public-api,sdk,system-api,test-api
Landroid/app/role/IRoleController$Stub$Proxy;->getInterfaceDescriptor()Ljava/lang/String;,blocked
Landroid/app/role/IRoleController$Stub$Proxy;->grantDefaultRoles(Landroid/os/RemoteCallback;)V,blocked
Landroid/app/role/IRoleController$Stub$Proxy;->isApplicationQualifiedForRole(Ljava/lang/String;Ljava/lang/String;Landroid/os/RemoteCallback;)V,blocked
Landroid/app/role/IRoleController$Stub$Proxy;->isApplicationVisibleForRole(Ljava/lang/String;Ljava/lang/String;Landroid/os/RemoteCallback;)V,blocked
Landroid/app/role/IRoleController$Stub$Proxy;->isRoleVisible(Ljava/lang/String;Landroid/os/RemoteCallback;)V,blocked
Landroid/app/role/IRoleController$Stub$Proxy;->mRemote:Landroid/os/IBinder;,blocked
Landroid/app/role/IRoleController$Stub$Proxy;->onAddRoleHolder(Ljava/lang/String;Ljava/lang/String;ILandroid/os/RemoteCallback;)V,blocked
Landroid/app/role/IRoleController$Stub$Proxy;->onClearRoleHolders(Ljava/lang/String;ILandroid/os/RemoteCallback;)V,blocked
Landroid/app/role/IRoleController$Stub$Proxy;->onRemoveRoleHolder(Ljava/lang/String;Ljava/lang/String;ILandroid/os/RemoteCallback;)V,blocked
Landroid/app/role/IRoleController$Stub$Proxy;->sDefaultImpl:Landroid/app/role/IRoleController;,blocked
